id,host_is_superhost,neighbourhood_group_cleansed,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,reviews_per_month
2595,f,Manhattan,1,0.0,0.0,1.0,150,30,5,35,65,340,48,4.7,0.33
3831,f,Brooklyn,3,0.0,1.0,3.0,76,1,0,4,9,208,408,4.46,5.03
5121,f,Brooklyn,2,0.0,1.0,1.0,60,30,30,60,90,365,50,4.52,0.54
5136,f,Brooklyn,4,0.0,2.0,2.0,275,5,0,0,0,204,2,5.0,0.02
5178,f,Manhattan,2,0.0,1.0,1.0,68,2,1,5,14,243,490,4.21,3.64
5203,f,Manhattan,1,0.0,1.0,1.0,75,2,0,0,0,0,118,4.91,0.89
5803,t,Brooklyn,2,0.0,1.0,0.0,98,4,11,41,71,333,194,4.7,1.44
6848,f,Brooklyn,3,0.0,0.0,1.0,89,30,0,0,0,274,182,4.56,1.27
6872,f,Manhattan,1,0.0,1.0,1.0,65,30,30,60,90,365,0,0.0,0.0
6990,f,Manhattan,1,0.0,1.0,1.0,62,30,0,0,12,287,234,4.88,1.86
7064,f,Brooklyn,1,0.0,1.0,1.0,90,27,0,14,14,201,9,4.86,0.07
7097,t,Brooklyn,4,0.0,1.0,2.0,199,2,10,16,40,306,265,4.87,2.99
7750,f,Manhattan,1,0.0,2.0,2.0,96,30,28,58,88,178,0,0.0,0.0
7801,t,Brooklyn,4,0.0,0.0,2.0,299,30,0,0,0,272,9,4.86,0.06
8490,t,Brooklyn,5,0.0,1.0,4.0,135,2,1,30,60,330,134,4.77,1.16
9357,f,Manhattan,2,0.0,0.0,1.0,150,30,0,0,0,244,58,4.52,0.57
9657,t,Manhattan,2,0.0,1.0,1.0,178,10,1,4,34,34,40,4.7,0.74
9704,f,Manhattan,2,0.0,1.0,1.0,55,30,0,0,0,244,98,4.89,1.42
10452,t,Brooklyn,3,0.0,1.0,2.0,80,30,2,22,22,244,76,4.67,0.67
10962,t,Brooklyn,2,0.0,1.0,0.0,98,4,8,38,68,343,191,4.74,2.15
11943,f,Brooklyn,1,0.0,1.0,2.0,150,30,0,0,0,0,0,0.0,0.0
12192,f,Manhattan,2,0.0,1.0,1.0,40,2,0,0,0,0,265,4.38,2.03
12343,f,Manhattan,3,0.0,1.0,1.0,250,30,29,59,89,364,107,4.81,0.81
12937,t,Queens,4,0.0,1.0,2.0,145,3,14,26,42,187,297,4.9,3.11
12940,f,Brooklyn,2,0.0,1.0,1.0,99,30,13,30,30,268,71,4.48,1.0
13121,f,Queens,3,0.0,1.0,2.0,75,2,0,0,0,0,69,4.18,0.82
13394,t,Brooklyn,2,0.0,1.0,1.0,80,1,1,1,1,155,143,4.72,1.19
13808,f,Brooklyn,2,0.0,1.0,1.0,80,2,0,0,0,268,154,4.67,1.28
14290,f,Brooklyn,2,0.0,2.0,0.0,233,3,3,19,49,139,112,4.73,2.12
14314,f,Brooklyn,2,0.0,1.0,2.0,99,30,0,0,0,244,179,4.82,2.09
15220,t,Manhattan,1,0.0,1.0,1.0,80,2,6,21,34,307,330,4.64,2.69
15341,t,Manhattan,3,0.0,1.0,2.0,194,30,1,31,61,151,26,4.56,0.7
